ka,Ph_Vel_m_s
1.483312732,14.7601476
2.472187886,3357.933579
3.584672435,3557.195572
4.697156984,3523.98524
5.686032138,3479.704797
6.674907293,3424.354244
7.663782447,3391.143911
8.776266996,3346.863469
10.50679852,3291.512915
12.48454883,3236.162362
14.95673671,3202.95203
17.3053152,3158.671587
20.27194067,3136.531365
23.36217553,3114.391144
26.57601978,3092.250923
29.66625464,3081.180812
32.88009889,3059.04059
36.21755253,3047.97048
40.17305315,3036.900369
43.5105068,3025.830258
46.72435105,3025.830258
49.44375773,3025.830258
52.03955501,3014.760148
55.12978986,3014.760148
57.97280593,3003.690037
61.06304079,3003.690037
64.27688504,3003.690037
67.98516687,2992.619926
72.06427689,2992.619926
76.1433869,2992.619926
79.97527812,2992.619926
84.05438813,2992.619926
88.13349815,2981.549815
92.83065513,2981.549815
98.02224969,2970.479705
102.4721879,2970.479705
106.9221261,2970.479705
111.0012361,2970.479705
115.0803461,2970.479705
120.0247219,2970.479705
125.092707,2959.409594
129.0482077,2959.409594
133.2509271,2959.409594
137.0828183,2948.339483
141.1619283,2959.409594
144.9938195,2948.339483
149.4437577,2948.339483
